1. What is the unit of force in the SI system?|A. Newton|B. Joule|C. Watt|D. Pascal|A
2. Who is the author of "Things Fall Apart"?|A. Chinua Achebe|B. Wole Soyinka|C. Ngugi wa Thiong'o|D. Chimamanda Adichie|A
3. What is the main theme of "Animal Farm"?|A. Love|B. Power and Corruption|C. Friendship|D. Adventure|B
4. In literature, what is a protagonist?|A. The main character|B. The villain|C. The narrator|D. The setting|A
5. Which genre does "Romeo and Juliet" belong to?|A. Comedy|B. Tragedy|C. Satire|D. Epic|B
6. Who wrote "The Lion and the Jewel"?|A. Wole Soyinka|B. Chinua Achebe|C. William Shakespeare|D. John Pepper Clark|A
7. What is the setting of "Purple Hibiscus"?|A. Nigeria|B. Ghana|C. Kenya|D. South Africa|A
8. What is a simile?|A. A comparison using 'like' or 'as'|B. An exaggeration|C. A direct comparison|D. A contradiction|A
9. Who is the antagonist in "Macbeth"?|A. Macbeth|B. Banquo|C. Lady Macbeth|D. Duncan|C
10. What is the climax of a story?|A. The beginning|B. The turning point|C. The ending|D. The introduction|B
11. Who wrote "Jagua Nana"?|A. Cyprian Ekwensi|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
12. What is the main conflict in "Lord of the Flies"?|A. Man vs Nature|B. Man vs Man|C. Man vs Society|D. Man vs Self|B
13. What is an autobiography?|A. A story about someone else|B. A story about oneself|C. A fictional story|D. A poem|B
14. Who is the author of "The Old Man and the Sea"?|A. Ernest Hemingway|B. William Faulkner|C. Mark Twain|D. F. Scott Fitzgerald|A
15. What is the function of a chorus in drama?|A. To narrate|B. To sing|C. To comment on events|D. To act|C
16. What is the meaning of 'foreshadowing'?|A. Hinting at future events|B. Describing the past|C. Creating suspense|D. Revealing secrets|A
17. Who wrote "The Trials of Brother Jero"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. John Pepper Clark|A
18. What is a metaphor?|A. A direct comparison|B. A comparison using 'like' or 'as'|C. An exaggeration|D. A contradiction|A
19. What is the setting of "Oliver Twist"?|A. London|B. Paris|C. New York|D. Lagos|A
20. Who is the author of "No Longer at Ease"?|A. Chinua Achebe|B. Wole Soyinka|C. Ngugi wa Thiong'o|D. Chimamanda Adichie|A
21. What is the main theme of "The Great Gatsby"?|A. Wealth and Class|B. Love|C. War|D. Friendship|A
22. What is a sonnet?|A. A 14-line poem|B. A short story|C. A play|D. A novel|A
23. Who wrote "A Raisin in the Sun"?|A. Lorraine Hansberry|B. Maya Angelou|C. Toni Morrison|D. Alice Walker|A
24. What is the meaning of 'irony'?|A. Saying the opposite of what is meant|B. Exaggeration|C. Comparison|D. Description|A
25. Who is the author of "The River Between"?|A. Ngugi wa Thiong'o|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
26. What is the main theme of "Julius Caesar"?|A. Betrayal|B. Love|C. Adventure|D. Friendship|A
27. What is a play?|A. A story performed on stage|B. A poem|C. A novel|D. An essay|A
28. Who wrote "The Tempest"?|A. William Shakespeare|B. Chinua Achebe|C. Wole Soyinka|D. John Pepper Clark|A
29. What is the setting of "The Gods Are Not to Blame"?|A. Yoruba land|B. Igbo land|C. Hausa land|D. Kenya|A
30. Who is the author of "Efuru"?|A. Flora Nwapa|B. Chimamanda Adichie|C. Buchi Emecheta|D. Cyprian Ekwensi|A
31. What is the main theme of "So Long a Letter"?|A. Marriage|B. War|C. Friendship|D. Betrayal|A
32. What is a stanza?|A. A group of lines in a poem|B. A paragraph|C. A chapter|D. A sentence|A
33. Who wrote "Second Class Citizen"?|A. Buchi Emecheta|B. Flora Nwapa|C. Chimamanda Adichie|D. Cyprian Ekwensi|A
34. What is the meaning of 'personification'?|A. Giving human qualities to non-human things|B. Exaggeration|C. Comparison|D. Description|A
35. Who is the author of "The Beautiful Ones Are Not Yet Born"?|A. Ayi Kwei Armah|B. Chinua Achebe|C. Wole Soyinka|D. Ngugi wa Thiong'o|A
36. What is the main theme of "The Merchant of Venice"?|A. Justice|B. Love|C. Betrayal|D. Adventure|A
37. What is a narrative?|A. A story|B. A poem|C. A play|D. An essay|A
38. Who wrote "The Joys of Motherhood"?|A. Buchi Emecheta|B. Flora Nwapa|C. Chimamanda Adichie|D. Cyprian Ekwensi|A
39. What is the meaning of 'hyperbole'?|A. Exaggeration|B. Comparison|C. Description|D. Contradiction|A
40. Who is the author of "Arrow of God"?|A. Chinua Achebe|B. Wole Soyinka|C. Ngugi wa Thiong'o|D. Cyprian Ekwensi|A
41. What is the main theme of "Othello"?|A. Jealousy|B. Love|C. War|D. Friendship|A
42. What is a dialogue?|A. Conversation between characters|B. Description|C. Narration|D. Exposition|A
43. Who wrote "Death and the King's Horseman"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. John Pepper Clark|A
44. What is the meaning of 'alliteration'?|A. Repetition of consonant sounds|B. Exaggeration|C. Comparison|D. Description|A
45. Who is the author of "The Bottled Leopard"?|A. Chukwuemeka Ike|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
46. What is the main theme of "A Midsummer Night's Dream"?|A. Love|B. War|C. Betrayal|D. Adventure|A
47. What is a plot?|A. Sequence of events in a story|B. The setting|C. The characters|D. The theme|A
48. Who wrote "The Man Died"?|A. Wole Soyinka|B. Chinua Achebe|C. Ngugi wa Thiong'o|D. Cyprian Ekwensi|A
49. What is the meaning of 'onomatopoeia'?|A. Words that imitate sounds|B. Exaggeration|C. Comparison|D. Description|A
50. Who is the author of "The Concubine"?|A. Elechi Amadi|B. Chinua Achebe|C. Wole Soyinka|D. Cyprian Ekwensi|A
51. What is the main theme of "Hamlet"?|A. Revenge|B. Love|C. War|D. Friendship|A
52. What is a character?|A. A person in a story|B. The setting|C. The plot|D. The theme|A
